aggregate,NEMS_verificationAccuracy,NEMS_aggregate,QC,Action
1,1,1,600,Keep
1,1,2,500,Keep
1,1,3,500,Keep
1,1,4,500,Keep
1,2,1,200,Keep
1,2,2,200,Keep
1,2,3,200,Keep
1,2,4,200,Keep
1,3,1,500,Keep
1,3,2,500,Keep
1,3,3,500,Keep
1,3,4,500,Keep
1,4,1,400,Keep
1,4,2,400,Keep
1,4,3,400,Keep
1,4,4,400,Keep
2,1,1,200,Keep
2,1,2,200,Keep
2,1,3,200,Keep
2,1,4,200,Keep
2,2,1,200,Keep
2,2,2,200,Keep
2,2,3,200,Keep
2,2,4,200,Keep
2,3,1,200,Keep
2,3,2,200,Keep
2,3,3,200,Keep
2,3,4,200,Keep
2,4,1,200,Keep
2,4,2,200,Keep
2,4,3,200,Keep
2,4,4,200,Keep
3,1,1,500,Keep
3,1,2,500,Keep
3,1,3,500,Keep
3,1,4,500,Keep
3,2,1,200,Keep
3,2,2,200,Keep
3,2,3,200,Keep
3,2,4,200,Keep
3,3,1,500,Keep
3,3,2,500,Keep
3,3,3,500,Keep
3,3,4,500,Keep
3,4,1,400,Keep
3,4,2,400,Keep
3,4,3,400,Keep
3,4,4,400,Keep
4,1,1,400,Drop
4,1,2,400,Drop
4,1,3,400,Drop
4,1,4,400,Drop
4,2,1,400,Drop
4,2,2,400,Drop
4,2,3,400,Drop
4,2,4,400,Drop
4,3,1,400,Drop
4,3,2,400,Drop
4,3,3,400,Drop
4,3,4,400,Drop
4,4,1,400,Drop
4,4,2,400,Drop
4,4,3,400,Drop
4,4,4,400,Drop
